None,Pre,Diab,Meas,Mes2,L1,L2,L3,E1,E2,B1,B2
2.850636092351186,0.36791758646063283,99.87945998071359,LogisticRegression,lr,1,11,88,SMOTE,all,103.0980136595254,100.24737756717424
1.3782000942359038,4.341427520235467,99.04773384763742,LogisticRegression,lr,1,21,78,SMOTE,all,104.7673614621088,103.38916136787289
0.5163342233390922,16.114790286975715,94.90115718418515,LogisticRegression,lr,1,31,68,SMOTE,all,111.53228169449996,111.01594747116086
0.229700015705984,38.26342899190581,82.00337512054003,LogisticRegression,lr,1,41,58,SMOTE,all,120.49650412815183,120.26680411244584
0.09816239987435213,66.29874908020604,55.7738669238187,LogisticRegression,lr,1,51,48,SMOTE,all,122.17077840389909,122.07261600402472
0.05300769593215014,86.90213392200147,28.218418514946965,LogisticRegression,lr,1,61,38,SMOTE,all,115.17356013288058,115.12055243694843
0.02944871996230564,95.87932303164092,9.522661523625844,LogisticRegression,lr,1,71,28,SMOTE,all,105.43143327522908,105.40198455526676
0.013742735982409299,99.70566593083149,1.1089681774349083,LogisticRegression,lr,1,81,18,SMOTE,all,100.82837684424881,100.81463410826639
0.00785299198994817,100.0,0.0,LogisticRegression,lr,1,91,8,SMOTE,all,100.00785299198995,100.0
27.829040364378827,0.0,98.39681774349084,LogisticRegression,lr,11,1,88,SMOTE,all,126.22585810786966,98.39681774349084
30.141746505418567,0.0,98.14368370298939,LogisticRegression,lr,11,11,78,SMOTE,all,128.28543020840794,98.14368370298939
32.04217056698602,1.839587932303164,97.25168756027,LogisticRegression,lr,11,21,68,SMOTE,all,131.1334460595592,99.09127549257317
29.90026700172766,15.15820456217807,91.44165863066537,LogisticRegression,lr,11,31,58,SMOTE,all,136.5001301945711,106.59986319284344
24.07727344118109,44.73877851361296,71.33558341369334,LogisticRegression,lr,11,41,48,SMOTE,all,140.15163536848738,116.07436192730631
19.070991047589132,75.86460632818248,38.874156219865,LogisticRegression,lr,11,51,38,SMOTE,all,133.80975359563664,114.73876254804748
15.523401916130044,91.75864606328183,13.560752169720347,LogisticRegression,lr,11,61,28,SMOTE,all,120.84280014913222,105.31939823300216
12.880870111512484,97.27740986019133,1.916586306653809,LogisticRegression,lr,11,71,18,SMOTE,all,112.0748662783576,99.19399616684514
10.79982723417622,98.52832965415746,0.0,LogisticRegression,lr,11,81,8,SMOTE,all,109.32815688833368,98.52832965415746
42.109706298099574,0.0,95.55207328833173,LogisticRegression,lr,21,1,78,SMOTE,all,137.66177958643132,95.55207328833173
45.20574839013664,0.0,94.66007714561235,LogisticRegression,lr,21,11,68,SMOTE,all,139.86582553574897,94.66007714561235
48.59824092979425,0.9565857247976454,92.98457087753134,LogisticRegression,lr,21,21,58,SMOTE,all,142.53939753212325,93.94115660232897
48.808308465525364,16.777041942604857,84.35390549662488,LogisticRegression,lr,21,31,48,SMOTE,all,149.9392559047551,101.13094743922974
42.14504476205434,54.15746872700515,54.158630665380905,LogisticRegression,lr,21,41,38,SMOTE,all,150.46114415444038,108.31609939238605
35.393434898696405,81.38337012509199,20.29893924783028,LogisticRegression,lr,21,51,28,SMOTE,all,137.07574427161865,101.68230937292226
30.22812941730799,91.09639440765268,3.0617164898746383,LogisticRegression,lr,21,61,18,SMOTE,all,124.38624031483532,94.15811089752732
26.276111198366575,94.03973509933775,0.012054001928640309,LogisticRegression,lr,21,71,8,SMOTE,all,120.32790029963296,94.0517891012664
53.995209674886134,0.0,91.15236258437801,LogisticRegression,lr,31,1,68,SMOTE,all,145.14757225926417,91.15236258437801
57.85495523794566,0.0,89.15139826422373,LogisticRegression,lr,31,11,58,SMOTE,all,147.00635350216936,89.15139826422373
61.76967174493482,1.1037527593818985,85.80038572806171,LogisticRegression,lr,31,21,48,SMOTE,all,148.67381023237846,86.9041384874436
62.431286320087956,20.897718910963945,70.81726133076181,LogisticRegression,lr,31,31,38,SMOTE,all,154.14626656181372,91.71498024172577
55.506910632951154,61.66298749080206,31.509161041465767,LogisticRegression,lr,31,41,28,SMOTE,all,148.679059165219,93.17214853226783
47.97392806659337,80.20603384841796,5.508678881388621,LogisticRegression,lr,31,51,18,SMOTE,all,133.68864079639994,85.71471272980658
41.92712423433328,86.75496688741721,0.03616200578592093,LogisticRegression,lr,31,61,8,SMOTE,all,128.71825312753643,86.79112889320314
63.97047275011779,0.0,84.93249758919961,LogisticRegression,lr,41,1,58,SMOTE,all,148.90297033931742,84.93249758919961
68.43097220040836,0.0,80.74975891996142,LogisticRegression,lr,41,11,48,SMOTE,all,149.18073112036979,80.74975891996142
73.36068792209832,1.7660044150110374,73.8066538090646,LogisticRegression,lr,41,21,38,SMOTE,all,148.93334614617396,75.57265822407564
73.3194597141511,29.80132450331126,47.830279652844744,LogisticRegression,lr,41,31,28,SMOTE,all,150.9510638703071,77.631604156156
65.40757028427831,63.20824135393672,10.354387656702025,LogisticRegression,lr,41,41,18,SMOTE,all,138.97019929491705,73.56262901063874
57.81961677399089,74.90802060338484,0.09643201542912247,LogisticRegression,lr,41,51,8,SMOTE,all,132.82406939280486,75.00445261881397
73.30571697816868,0.0,75.02410800385728,LogisticRegression,lr,51,1,48,SMOTE,all,148.32982498202597,75.02410800385728
78.27862415580336,0.0,68.7198649951784,LogisticRegression,lr,51,11,38,SMOTE,all,146.99848915098178,68.7198649951784
83.4831945971415,3.016924208977189,56.61764705882353,LogisticRegression,lr,51,21,28,SMOTE,all,143.1177658649422,59.634571267800716
81.25294487199623,37.895511405445184,19.15380906460945,LogisticRegression,lr,51,31,18,SMOTE,all,138.30226534205087,57.04932047005463
73.20951782629182,58.13097866077999,0.20491803278688525,LogisticRegression,lr,51,41,8,SMOTE,all,131.5454145198587,58.335896693566866
81.91848594314433,0.0,62.22275795564127,LogisticRegression,lr,61,1,38,SMOTE,all,144.1412438987856,62.22275795564127
87.00133500863829,0.0,51.374156219865,LogisticRegression,lr,61,11,28,SMOTE,all,138.3754912285033,51.374156219865
91.29103188314748,7.652685798381163,30.171166827386692,LogisticRegression,lr,61,21,18,SMOTE,all,129.11488450891534,37.823852625767856
