None,Pre,Diab,Classifier,Sampler,Mode,Total,Diab2
92.4689806816397,1.030169242089772,25.241080038572804,ExtraTreesClassifier,ADASYN,auto,118.7402299623023,26.27124928066258
93.00102088895869,0.5886681383370125,24.65043394406943,RandomForestClassifier,ADASYN,auto,118.24012297136515,25.239102082406443
85.67614261033454,3.8263428991905815,29.050144648023146,DecisionTreeClassifier,ADASYN,auto,118.55263015754826,32.87648754721373
62.91031883147479,17.51287711552612,52.09739633558341,KNeighborsClassifier,ADASYN,auto,132.52059228258432,69.61027345110952
94.64229621485785,0.0,28.2907425265188,LGBMClassifier,ADASYN,auto,122.93303874137666,28.2907425265188
82.94919114182504,0.22075055187637968,59.72757955641272,GradientBoostingClassifier,ADASYN,auto,142.89752125011415,59.948330108289106
74.79974870425632,5.518763796909492,66.04387656702025,AdaBoostClassifier,ADASYN,auto,146.36238906818605,71.56264036392975
63.642610334537466,32.00883002207506,58.20877531340405,LogisticRegression,ADASYN,auto,153.86021567001657,90.2176053354791
62.11716664049003,36.12950699043414,55.81002892960463,LinearDiscriminantAnalysis,ADASYN,auto,154.05670256052878,91.93953592003876
66.86233705041622,27.740986019131714,58.57039537126326,RidgeClassifier,ADASYN,auto,153.1737184408112,86.31138139039498
58.44392963719177,26.122148638704928,66.18852459016394,GaussianNB,ADASYN,auto,150.75460286606065,92.31067322886885
66.73276268258206,19.793966151582048,64.99517839922855,SGDClassifier,ADASYN,auto,151.52190723339265,84.78914455081059
100.0,0.0,0.0,QuadraticDiscriminantAnalysis,ADASYN,auto,100.0,0.0
100.0,0.0,0.0,DummyClassifier,ADASYN,auto,100.0,0.0
11.174807601696246,76.52685798381162,20.16634522661524,LGBMClassifier,NearMiss,all,107.86801081212312,96.69320321042686
7.788204806031097,71.22884473877852,24.361137897782065,ExtraTreesClassifier,NearMiss,all,103.37818744259168,95.58998263656058
8.683445892885189,71.22884473877852,24.493731918997106,RandomForestClassifier,NearMiss,all,104.40602255066081,95.72257665777563
17.154861002041777,74.02501839587933,20.118129218900673,GradientBoostingClassifier,NearMiss,all,111.29800861682178,94.14314761477999
15.963169467567143,73.65710080941868,21.335583413693346,AdaBoostClassifier,NearMiss,all,110.95585369067918,94.99268422311204
20.137034710224597,71.00809418690214,21.96239151398264,LogisticRegression,NearMiss,all,113.10752041110939,92.97048570088478
12.425396576095492,65.04782928623987,26.97685631629701,DecisionTreeClassifier,NearMiss,all,104.45008217863239,92.02468560253689
29.566514842154863,62.76674025018396,26.458534233365476,LinearDiscriminantAnalysis,NearMiss,all,118.79178932570431,89.22527448354944
30.734647400659654,67.91758646063282,20.527965284474444,RidgeClassifier,NearMiss,all,119.18019914576692,88.44555174510727
27.613083084655255,54.81972038263429,31.0390549662488,KNeighborsClassifier,NearMiss,all,113.47185843353833,85.85877534888309
20.03298256635778,82.33995584988962,6.159594985535198,SGDClassifier,NearMiss,all,108.53253340178262,88.49955083542483
32.99827234176222,46.799116997792495,34.01639344262295,GaussianNB,NearMiss,all,113.81378278217767,80.81551044041544
100.0,0.0,0.0,QuadraticDiscriminantAnalysis,NearMiss,all,100.0,0.0
100.0,0.0,0.0,DummyClassifier,NearMiss,all,100.0,0.0
11.174807601696246,76.52685798381162,20.16634522661524,LGBMClassifier,NearMiss,all,107.86801081212312,96.69320321042686
7.788204806031097,71.22884473877852,24.361137897782065,ExtraTreesClassifier,NearMiss,all,103.37818744259168,95.58998263656058
8.683445892885189,71.22884473877852,24.493731918997106,RandomForestClassifier,NearMiss,all,104.40602255066081,95.72257665777563
17.154861002041777,74.02501839587933,20.118129218900673,GradientBoostingClassifier,NearMiss,all,111.29800861682178,94.14314761477999
15.963169467567143,73.65710080941868,21.335583413693346,AdaBoostClassifier,NearMiss,all,110.95585369067918,94.99268422311204
20.137034710224597,71.00809418690214,21.96239151398264,LogisticRegression,NearMiss,all,113.10752041110939,92.97048570088478
12.425396576095492,65.04782928623987,26.97685631629701,DecisionTreeClassifier,NearMiss,all,104.45008217863239,92.02468560253689
29.566514842154863,62.76674025018396,26.458534233365476,LinearDiscriminantAnalysis,NearMiss,all,118.79178932570431,89.22527448354944
30.734647400659654,67.91758646063282,20.527965284474444,RidgeClassifier,NearMiss,all,119.18019914576692,88.44555174510727
27.613083084655255,54.81972038263429,31.0390549662488,KNeighborsClassifier,NearMiss,all,113.47185843353833,85.85877534888309
20.03298256635778,82.33995584988962,6.159594985535198,SGDClassifier,NearMiss,all,108.53253340178262,88.49955083542483
32.99827234176222,46.799116997792495,34.01639344262295,GaussianNB,NearMiss,all,113.81378278217767,80.81551044041544
100.0,0.0,0.0,QuadraticDiscriminantAnalysis,NearMiss,all,100.0,0.0
100.0,0.0,0.0,DummyClassifier,NearMiss,all,100.0,0.0
87.90246583948485,2.57542310522443,30.364030858244938,ExtraTreesClassifier,RandomOverSampler,auto,120.84191980295422,32.93945396346937
